(2000: 7:19:13:39) - ASCII(177)  ±
(2000: 7:19:13:39) - ASCII(178)  ≤
(2000: 7:19:13:39) - ASCII(179)  ≥
(2000: 7:19:13:39) - ASCII(180)  ¥
(2000: 7:19:13:39) - ASCII(181)  µ
(2000: 7:19:13:39) - ASCII(182)  ∂
(2000: 7:19:13:39) - ASCII(183)  ∑
(2000: 7:19:13:39) - ASCII(184)  ∏
(2000: 7:19:13:39) - ASCII(185)  π
(2000: 7:19:13:39) - ASCII(186)  ∫
(2000: 7:19:13:39) - ASCII(187)  ª
(2000: 7:19:13:39) - ASCII(188)  º
(2000: 7:19:13:39) - ASCII(189)  Ω
(2000: 7:19:13:39) - ASCII(190)  æ
(2000: 7:19:13:39) - ASCII(191)  ø
(2000: 7:19:13:39) - ASCII(192)  ¿
(2000: 7:19:13:39) - ASCII(193)  ¡
(2000: 7:19:13:39) - ASCII(194)  ¬
(2000: 7:19:13:39) - ASCII(195)  √
(2000: 7:19:13:39) - ASCII(196)  ƒ
(2000: 7:19:13:39) - ASCII(197)  ≈
(2000: 7:19:13:39) - ASCII(198)  ∆
(2000: 7:19:13:39) - ASCII(199)  «
(2000: 7:19:13:39) - ASCII(200)  »
(2000: 7:19:13:39) - ASCII(201)  …
(2000: 7:19:13:39) - ASCII(202)   
(2000: 7:19:13:39) - ASCII(203)  À
(2000: 7:19:13:39) - ASCII(204)  Ã
(2000: 7:19:13:39) - ASCII(205)  Õ
(2000: 7:19:13:39) - ASCII(206)  Œ
(2000: 7:19:13:39) - ASCII(207)  œ
(2000: 7:19:13:39) - ASCII(208)  –
(2000: 7:19:13:39) - ASCII(209)  —
(2000: 7:19:13:39) - ASCII(210)  “
(2000: 7:19:13:39) - ASCII(211)  ”
(2000: 7:19:13:39) - ASCII(212)  ‘
(2000: 7:19:13:39) - ASCII(213)  ’
(2000: 7:19:13:39) - ASCII(214)  ÷
(2000: 7:19:13:39) - ASCII(215)  ◊
(2000: 7:19:13:39) - ASCII(216)  ÿ
(2000: 7:19:13:39) - ASCII(217)  Ÿ
(2000: 7:19:13:39) - ASCII(218)  ⁄
(2000: 7:19:13:39) - ASCII(219)  €
(2000: 7:19:13:39) - ASCII(220)  ‹
(2000: 7:19:13:39) - ASCII(221)  ›
(2000: 7:19:13:39) - ASCII(222)  ﬁ
(2000: 7:19:13:39) - ASCII(223)  ﬂ
(2000: 7:19:13:39) - ASCII(224)  ‡
(2000: 7:19:13:39) - ASCII(225)  ·
(2000: 7:19:13:39) - ASCII(226)  ‚
(2000: 7:19:13:39) - ASCII(227)  „
(2000: 7:19:13:39) - ASCII(228)  ‰
(2000: 7:19:13:39) - ASCII(229)  Â
(2000: 7:19:13:39) - ASCII(230)  Ê
(2000: 7:19:13:39) - ASCII(231)  Á
(2000: 7:19:13:39) - ASCII(232)  Ë
(2000: 7:19:13:39) - ASCII(233)  È
(2000: 7:19:13:39) - ASCII(234)  Í
(2000: 7:19:13:39) - ASCII(235)  Î
(2000: 7:19:13:39) - ASCII(236)  Ï
(2000: 7:19:13:39) - ASCII(237)  Ì
(2000: 7:19:13:39) - ASCII(238)  Ó
(2000: 7:19:13:39) - ASCII(239)  Ô
(2000: 7:19:13:39) - ASCII(240)  
(2000: 7:19:13:39) - ASCII(241)  Ò
(2000: 7:19:13:39) - ASCII(242)  Ú
(2000: 7:19:13:39) - ASCII(243)  Û
(2000: 7:19:13:39) - ASCII(244)  Ù
(2000: 7:19:13:39) - ASCII(245)  ı
(2000: 7:19:13:39) - ASCII(246)  ˆ
(2000: 7:19:13:39) - ASCII(247)  ˜
(2000: 7:19:13:39) - ASCII(248)  ¯
(2000: 7:19:13:39) - ASCII(249)  ˘
(2000: 7:19:13:39) - ASCII(250)  ˙
(2000: 7:19:13:39) - ASCII(251)  ˚
(2000: 7:19:13:39) - ASCII(252)  ¸
(2000: 7:19:13:39) - ASCII(253)  ˝
(2000: 7:19:13:39) - ASCII(254)  ˛
(2000: 7:19:13:39) - ASCII(255)  ˇ
(2001:11:25:17:46) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:46) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:46) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:46) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:46) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:46) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:46) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:57) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:58) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:58) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:58) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:58) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:59) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:59) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:59) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:59) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:18: 0) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:18: 0) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:18: 0) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:36) - (!!!) AUTO-SERVER-REBOOTING!
(2001:11:25:17:36) - (!!!) AUTO-SERVER-REBOOTING!
(2001:12: 8:23:58) - (!!!) AUTO-SERVER-REBOOTING!
(2002: 1:23:23:18) - (!!!) AUTO-SERVER-REBOOTING!
(2002: 1:23:23:18) - (!!!) AUTO-SERVER-REBOOTING!
(2002: 1:23:23:18) - (!!!) AUTO-SERVER-REBOOTING!
(2002: 1:23:23:18) - (!!!) AUTO-SERVER-REBOOTING!
(2002: 1:23:23:20) - (!!!) AUTO-SERVER-REBOOTING!
(2002: 1:23:23:20) - (!!!) AUTO-SERVER-REBOOTING!
(2002: 1:23:23:20) - (!!!) AUTO-SERVER-REBOOTING!
(2002: 1:23:23:20) - (!!!) AUTO-SERVER-REBOOTING!
(2003: 5:21:10:22) - (!!!) AUTO-SERVER-REBOOTING!
(2003: 5:21:10:23) - (!!!) Sub-log-socket(0) connection lost!
(2003: 5:21:10:23) - (!!!) Sub-log-socket(1) connection lost!
(2003: 5:21:10:23) - (!!!) Sub-log-socket(2) connection lost!
(2003: 5:21:10:23) - (!!!) AUTO-SERVER-REBOOTING!
(2003: 5:21:10:24) - (!!!) AUTO-SERVER-REBOOTING!
